acc,avespotlen,num_chunks,gbases,chunk_size,chunk
ERR2503240,250,14,40.627,12000000,8
SRR5158457,202,18,52.657000000000004,14851486,11
SRR23274476,302,37,108.467,9933775,28
SRR26457521,302,22,65.22200000000001,9933775,10
SRR18653130,300,42,125.413,10000000,15
DRR483935,302,51,150.27,9933775,49
ERR599267,197,11,31.958000000000002,15228427,7
SRR12204848,300,21,60.792,10000000,18
SRR26209612,302,16,47.823,9933775,9
DRR067588,200,17,50.849000000000004,15000000,11
SRR5452023,302,16,46.056000000000004,9933775,10
ERR3274950,201,43,128.275,14925374,36
SRR29199360,300,34,101.151,10000000,10
SRR24752793,251,45,132.052,11952192,28
SRR17827881,299,39,116.756,10033445,16
ERR10503181,299,14,41.137,10033445,9
SRR17827912,299,38,111.136,10033445,16
ERR9287629,300,24,71.654,10000000,22
SRR25742230,300,33,98.24000000000001,10000000,22
ERR3974535,302,11,31.55,9933775,2
SRR8867410,302,24,70.251,9933775,21
SRR11702760,300,19,54.726,10000000,13
SRR10854627,302,28,83.096,9933775,19
ERR10101783,298,21,60.311,10067115,1
ERR10921467,301,17,50.532000000000004,9966778,8
SRR23617260,279,19,56.311,10752689,2
SRR3972149,300,16,45.561,10000000,2
SRR18067412,243,25,72.615,12345680,25
SRR26425198,302,31,92.47200000000001,9933775,25
SRR24041378,294,12,35.82,10204082,2
SRR5451719,302,18,51.648,9933775,14
SRR30757682,300,13,38.411,10000000,8
SRR8451843,302,31,91.07300000000001,9933775,14
SRR26076605,302,13,38.915,9933775,8
SRR8861596,302,15,42.517,9933775,7
SRR30757671,300,24,71.891,10000000,11
ERR10048375,300,36,107.608,10000000,31
ERR10101735,298,24,71.271,10067115,18
SRR13427716,200,16,47.354,15000000,1
SRR5259504,187,15,42.369,16042781,11
SRR17827851,299,41,121.785,10033445,8
SRR15436121,302,20,59.994,9933775,3
SRR22580807,302,15,43.025,9933775,15
SRR23287134,302,23,68.21000000000001,9933775,12
ERR4298933,301,48,142.372,9966778,14
SRR28520281,302,30,88.784,9933775,18
SRR22405814,299,15,43.033,10033445,4
SRR7507848,300,18,53.49,10000000,7
ERR3224602,300,13,37.278,10000000,3
SRR9648400,302,26,77.687,9933775,9
